pitch,roll,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,distance,time,jerk_x,jerk_y,jerk_z,is_running_backoff
-1.0,0.0,205.853,136.4375,9787.594,-0.05598922,-0.09555528,0.005286008,2000.0,2024-01-12 16:26:33.393240,0,0,0,False
-3.0,2.0,636.7083,330.3223,9162.854,2.254011,-2.895555,-0.414714,2000.0,2024-01-12 16:26:33.513343,3587.381664071672,1614.3210411063835,-5201.701872559384,False
-1.0,-1.0,550.5372,-526.6008,9876.159,2.114011,-2.755555,-2.724714,2000.0,2024-01-12 16:26:33.693540,-478.20496456655786,-4755.479281009118,3958.4732265243056,False
-4.0,0.0,679.7938,2.39364,9201.152,-0.5459892,-0.09555528,3.645286,1843.0,2024-01-12 16:26:33.933171,539.398491847883,2207.537589043154,-2816.860089053585,False
0.0,2.0,-86.17104,440.4298,10618.19,0.2940108,-0.02555527,-3.984714,1803.0,2024-01-12 16:26:34.113693,-4243.0553616733705,2426.497379820742,7849.669292385419,False
0.0,0.0,126.8629,90.95832,9124.556,-1.315989,-1.215555,1.895286,1779.0,2024-01-12 16:26:34.293141,1187.1625206187866,-1947.4804957424992,-8323.49204226294,False
-3.0,4.0,531.3881,773.1458,9892.914,1.204011,-2.055555,2.175286,1735.0,2024-01-12 16:26:34.473169,2247.012686915369,3789.3409914013378,4267.991645743997,False
-2.0,1.0,493.0898,215.4276,9732.54,-2.855989,-2.055555,-2.024714,1687.0,2024-01-12 16:26:34.712756,-159.851327492727,-2327.831643620063,-669.3768860580908,False
-5.0,1.0,916.7642,251.3322,9653.55,-1.175989,-4.715556,0.845286,2000.0,2024-01-12 16:26:34.892788,2353.32829719161,199.43454496978308,-438.75533238536264,False
-2.0,-3.0,421.2806,-584.0482,8959.395,-5.375989,-1.495555,0.775286,2000.0,2024-01-12 16:26:35.073319,-2744.5901257955697,-4627.351535193402,-3845.0736992538614,False
-1.0,4.0,308.7796,789.9012,9213.12,-0.8259892,-1.635555,1.125286,2000.0,2024-01-12 16:26:35.252956,-626.2685304252464,7648.476650133324,1412.431737336965,False
-6.0,4.0,1165.703,713.3047,10065.26,3.934011,-2.615555,3.015286,2000.0,2024-01-12 16:26:35.433516,4745.920469649977,-424.2163269827204,4719.428444838278,False
-3.0,0.0,624.7401,-129.2566,10402.76,0.9240108,-2.475555,-0.414714,2000.0,2024-01-12 16:26:35.613035,-3013.401924030325,-4693.438020488082,1880.0238414875305,False
-3.0,-2.0,576.8672,-349.4714,9280.143,-0.8259892,0.3944447,2.455286,2000.0,2024-01-12 16:26:35.853143,-199.38069535375732,-917.1489496393291,-4675.466873240376,False
-6.0,0.0,1144.16,93.35196,10139.46,-1.525989,-1.635555,6.515286,2000.0,2024-01-12 16:26:36.033206,3150.5239832725215,2459.269033616012,4772.313023775007,False
0.0,0.0,-55.05372,-167.5548,9651.156,0.1540108,1.304445,2.455286,2000.0,2024-01-12 16:26:36.213232,-6661.336251430351,-1449.2726606156891,-2712.408207703322,False
